iter	Passed	Remaining
425	2352	3169
426	2356	3162
427	2362	3157
428	2367	3150
429	2372	3144
430	2376	3137
431	2378	3127
432	2381	3118
433	2385	3111
434	2387	3100
435	2392	3094
436	2395	3085
437	2397	3075
438	2404	3072
439	2409	3067
440	2413	3059
441	2415	3049
442	2424	3048
443	2428	3041
444	2433	3034
445	2439	3030
446	2443	3022
447	2446	3014
448	2450	3006
449	2452	2997
450	2456	2990
451	2462	2985
452	2465	2977
453	2471	2972
454	2475	2964
455	2479	2957
456	2480	2947
457	2483	2938
458	2494	2939
459	2495	2929
460	2498	2920
461	2503	2915
462	2510	2911
463	2512	2902
464	2514	2893
465	2521	2889
466	2524	2881
467	2528	2874
468	2557	2895
469	2559	2885
470	2561	2876
471	2563	2867
472	2569	2862
473	2572	2855
474	2577	2848
475	2581	2841
476	2583	2832
477	2586	2824
478	2588	2815
479	2590	2806
480	2592	2796
481	2593	2787
482	2607	2790
483	2609	2781
484	2612	2774
485	2614	2765
486	2618	2758
487	2622	2751
488	2623	2741
489	2629	2736
490	2630	2727
491	2632	2718
492	2634	2709
493	2636	2700
494	2638	2691
495	2640	2682
496	2644	2676
497	2656	2678
498	2664	2675
499	2669	2669
500	2675	2664
501	2679	2658
502	2682	2650
503	2686	2643
504	2688	2634
505	2695	2631
506	2697	2622
507	2701	2616
508	2703	2608
509	2708	2602
510	2710	2593
511	2718	2591
512	2722	2584
513	2724	2576
514	2726	2568
515	2728	2559
516	2730	2551
517	2732	2543
518	2734	2534
519	2739	2528
520	2740	2519
521	2742	2511
522	2744	2503
523	2746	2494
524	2748	2486
525	2749	2478
526	2780	2495
527	2786	2490
528	2788	2482
529	2793	2476
530	2797	2470
531	2802	2465
532	2805	2458
533	2809	2451
534	2813	2445
535	2819	2440
536	2820	2432
537	2822	2424
538	2861	2447
539	2867	2442
540	2869	2434
541	2871	2426
542	2874	2418
543	2876	2410
544	2878	2402
545	2883	2397
546	2886	2390
547	2888	2382
548	2890	2374
549	2892	2366
550	2894	2358
551	2899	2353
552	2916	2357
553	2920	2351
554	2923	2344
555	2926	2337
556	2930	2330
557	2934	2324
558	2938	2317
559	2940	2310
560	2944	2303
561	2947	2297
562	2951	2291
563	2953	2283
564	2957	2276
565	2964	2273
566	2966	2265
567	2968	2257
568	2969	2249
